id,name,state,url
J000126,Rep. Eddie Johnson,TX,http://ebjohnson.house.gov
J000288,Rep. Henry Johnson,GA,http://hankjohnson.house.gov
J000293,Sen. Ron Johnson,WI,http://www.ronjohnson.senate.gov
J000174,Rep. Sam Johnson,TX,http://samjohnson.house.gov
J000255,Rep. Walter Jones,NC,http://jones.house.gov
J000289,Rep. Jim Jordan,OH,http://jordan.house.gov
K000009,Rep. Marcy Kaptur,OH,http://kaptur.house.gov
K000375,Rep. William Keating,MA,http://keating.house.gov
K000376,Rep. Mike Kelly,PA,http://kelly.house.gov
K000188,Rep. Ron Kind,WI,http://kind.house.gov
K000210,Rep. Peter King,NY,http://peteking.house.gov
K000362,Rep. Steve King,IA,https://steveking.house.gov
K000378,Rep. Adam Kinzinger,IL,http://kinzinger.house.gov
